Sample Sys Usage,Sample Sys Name,GPIO #,Name,J8 Header # (odd row),J8 Header # (even row),Name,GPIO #,Sample Sys Name,Sample Sys Usage,,,,,,,,,,,,,,
Valve 5,Valve 5,0,"SPI3 CE0 N/TXD2/SDA6 (SPI, UART, I2C)",27,28,"SPI3 MISO/SCL6/RXD2 (SPI, I2C, UART)",1,,,"""SPI3 CE0 N/TXD2/SDA6 (SPI, UART, I2C)"",",,,"""SPI3 MISO/SCL6/RXD2 (SPI, I2C, UART)"",",,,odd,"""N/A"",",,,"""GND"",",,,"""GND"","
Valve 6,Valve 6,5,"SPI4 MISO/RXD3/SCL3 (SPI, UART, I2C)",29,30,GND,N/A,,,"""SPI4 MISO/RXD3/SCL3 (SPI, UART, I2C)"",",,,"""GND"",",,,even,"""3"",",,,"""SDA6 (I2C)"",",,,"""SDA6 (I2C)"","
Trap 1,Trap 1,6,"SPI4 MOSI/SDA4 (SPI, I2C)",31,32,"SDA5/SPI5 CEO N/TXD5 (I2C, SPI, UART)",12,,,"""SPI4 MOSI/SDA4 (SPI, I2C)"",",,,"""SDA5/SPI5 CEO N/TXD5 (I2C, SPI, UART)"",",,,odd,"""4"",",,,"""SCL6 (I2C)"",",,,"""SCL6 (I2C)"","
Trap 2,Trap 2,13,"SPI5 MISO/RXD5/SCL5 (SPI, UART, I2C)",33,34,GND,N/A,,,"""SPI5 MISO/RXD5/SCL5 (SPI, UART, I2C)"",",,,"""GND"",",,,even,"""N/A"",",,,"""3.3 VDC Power"",",,,"""3.3 VDC Power"","
Oxidation Cat,Oxidation Cat,19,SPI6 MISO (SPI),35,36,SPI1 CE2 N (SPI),16,,,"""SPI6 MISO (SPI)"",",,,"""SPI1 CE2 N (SPI)"",",,,odd,"""5"",",,,"""SPI3 CE1 N (SPI)"",",,,"""SPI3 CE1 N (SPI)"","
Reduction Cat,Reduction Cat,26,SPI5 CE1 N (SIP),37,38,SPI6 MOSI (SPI),20,Pre-cut Oven,Pre-cut Oven,"""SPI5 CE1 N (SIP)"",",,,"""SPI6 MOSI (SPI)"",",,,even,"""12"",",,,"""SDA5 (I2C)"",",,,"""SDA5 (I2C)"","
,,N/A,GND,39,40,SPI6 SCLK (SPI),21,Unknown,Unknown,"""GND"",",,,"""SPI6 SCLK (SPI)"",",,,odd,"""N/A"",",,,"""GND"",",,,"""GND"","
,,,,,,,,,,1,,,2,,,,"""13"",",,,"""RXD4/SCL4 (UART, I2C)"",",,,"""RXD4/SCL4 (UART, I2C)"","
,,,,,,,,,,3,,,4,,,,"""6"",",,,"""SPI4 CE1 N (SPI)"",",,,"""SPI4 CE1 N (SPI)"","
,,,,,,,,,,5,,,6,,,,"""14"",",,,"""SCL5 (I2C)"",",,,"""SCL5 (I2C)"","
,,,,,,,,,,7,,,8,,,,"""10"",",,,"""SDA4/TXD4 (I2C, UART)"",",,,"""SDA4/TXD4 (I2C, UART)"","
,,,,,,,,,,9,,,10,,,,"""N/A"",",,,"""GND"",",,,"""GND"","
,,,,,,,,,,11,,,12,,,,"""11"",",,,"""SDCL4/SPI4 SCLK (I2C, SPI)"",",,,"""SDCL4/SPI4 SCLK (I2C, SPI)"","
,,,,,,,,,,13,,,14,,,,"""30"",",,,"""SPI3 CE0 N/TXD2/SDA6 (SPI, UART, I2C)"",",,,"""SPI3 CE0 N/TXD2/SDA6 (SPI, UART, I2C)"","
,,,,,,,,,,15,,,16,,,,"""31"",",,,"""SPI3 MISO/SCL6/RXD2 (SPI, I2C, UART)"",",,,"""SPI3 MISO/SCL6/RXD2 (SPI, I2C, UART)"","
,,,,,,,,,,17,,,18,,,,"""21"",",,,"""SPI4 MISO/RXD3/SCL3 (SPI, UART, I2C)"",",,,"""SPI4 MISO/RXD3/SCL3 (SPI, UART, I2C)"","
,,,,,,,,,,19,,,20,,,,"""N/A"",",,,"""GND"",",,,"""GND"","
,,,,,,,,,,21,,,22,,,,"""22"",",,,"""SPI4 MOSI/SDA4 (SPI, I2C)"",",,,"""SPI4 MOSI/SDA4 (SPI, I2C)"","
,,,,,,,,,,23,,,24,,,,"""26"",",,,"""SDA5/SPI5 CEO N/TXD5 (I2C, SPI, UART)"",",,,"""SDA5/SPI5 CEO N/TXD5 (I2C, SPI, UART)"","
,,,,,,,,,,25,,,26,,,,"""23"",",,,"""SPI5 MISO/RXD5/SCL5 (SPI, UART, I2C)"",",,,"""SPI5 MISO/RXD5/SCL5 (SPI, UART, I2C)"","
,,,,,,,,,,27,,,28,,,,"""N/A"",",,,"""GND"",",,,"""GND"","
,,,,,,,,,,29,,,30,,,,"""24"",",,,"""SPI6 MISO (SPI)"",",,,"""SPI6 MISO (SPI)"","
,,,,,,,,,,31,,,32,,,,"""27"",",,,"""SPI1 CE2 N (SPI)"",",,,"""SPI1 CE2 N (SPI)"","
,,,,,,,,,,33,,,34,,,,"""25"",",,,"""SPI5 CE1 N (SIP)"",",,,"""SPI5 CE1 N (SIP)"","
,,,,,,,,,,35,,,36,,,,"""28"",",,,"""SPI6 MOSI (SPI)"",",,,"""SPI6 MOSI (SPI)"","
,,,,,,,,,,37,,,38,,,,"""N/A"",",,,"""GND"",",,,"""GND"","
,,,,,,,,,,39,,,40,,,,"""29"",",,,"""SPI6 SCLK (SPI)"",",,,"""SPI6 SCLK (SPI)"","
,,,,,,,,,,,,,,,,,1,,,1,,,
,,,,,,,,,,,,,,,,,2,,,2,,,
,,,,,,,,,,,,,,,,,3,,,3,,,
,,,,,,,,,,,,,,,,,4,,,4,,,
,,,,,,,,,,,,,,,,,5,,,5,,,
,,,,,,,,,,,,,,,,,6,,,6,,,
,,,,,,,,,,,,,,,,,7,,,7,,,
,,,,,,,,,,,,,,,,,8,,,8,,,
,,,,,,,,,,,,,,,,,9,,,9,,,
,,,,,,,,,,,,,,,,,10,,,10,,,
,,,,,,,,,,,,,,,,,11,,,11,,,
,,,,,,,,,,,,,,,,,12,,,12,,,
,,,,,,,,,,,,,,,,,13,,,13,,,
,,,,,,,,,,,,,,,,,14,,,14,,,
,,,,,,,,,,,,,,,,,15,,,15,,,
,,,,,,,,,,,,,,,,,16,,,16,,,
,,,,,,,,,,,,,,,,,17,,,17,,,
,,,,,,,,,,,,,,,,,18,,,18,,,
,,,,,,,,,,,,,,,,,19,,,19,,,
,,,,,,,,,,,,,,,,,20,,,20,,,
,,,,,,,,,,,,,,,,,21,,,21,,,
,,,,,,,,,,,,,,,,,22,,,22,,,
,,,,,,,,,,,,,,,,,23,,,23,,,
,,,,,,,,,,,,,,,,,24,,,24,,,
,,,,,,,,,,,,,,,,,25,,,25,,,
,,,,,,,,,,,,,,,,,26,,,26,,,
,,,,,,,,,,,,,,,,,27,,,27,,,
,,,,,,,,,,,,,,,,,28,,,28,,,
,,,,,,,,,,,,,,,,,29,,,29,,,
,,,,,,,,,,,,,,,,,30,,,30,,,
,,,,,,,,,,,,,,,,,31,,,31,,,
,,,,,,,,,,,,,,,,,32,,,32,,,
,,,,,,,,,,,,,,,,,33,,,33,,,
,,,,,,,,,,,,,,,,,34,,,34,,,
,,,,,,,,,,,,,,,,,35,,,35,,,
,,,,,,,,,,,,,,,,,36,,,36,,,
,,,,,,,,,,,,,,,,,37,,,37,,,
,,,,,,,,,,,,,,,,,38,,,38,,,
,,,,,,,,,,,,,,,,,39,,,39,,,
,,,,,,,,,,,,,,,,,40,,,40,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,
